view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,std_train_f1,mean_test_f1,std_test_f1
overhead,all,2024-12-21,0.8833333333333334,0.06846531968814577,0.6333333333333334,0.21730674684008833,0.8825490196078432,0.06906513093196703,0.6333333333333334,0.20905430802474204
overhead,all,2024-12-22,0.8666666666666668,0.12638125740085918,0.5666666666666667,0.09128709291752767,0.8651568463642766,0.1281471989530444,0.5577777777777777,0.0963532595052391
overhead,all,2024-12-23,0.9833333333333332,0.03726779962499651,0.7666666666666666,0.14907119849998599,0.9826330532212886,0.03883367355881989,0.7355555555555555,0.17991767664787797
overhead,all,2024-12-24,0.9916666666666668,0.01863389981249823,0.7666666666666667,0.190029237516523,0.9916339869281046,0.018706973929409988,0.7555555555555556,0.20000000000000004
overhead,all,2024-12-25,0.95,0.045643546458763846,0.8,0.13944333775567927,0.9496918767507004,0.046052782771910265,0.7955555555555556,0.13824294235551818
overhead,all,2024-12-26,0.9416666666666667,0.055901699437494755,0.8,0.13944333775567927,0.9415686274509802,0.05604808585241881,0.7733333333333333,0.16953094331342805
overhead,all,2024-12-27,0.9333333333333332,0.047507309379130766,0.7666666666666667,0.190029237516523,0.9332026143790848,0.047636590294971894,0.7488888888888889,0.21221931353445908
overhead,all,2024-12-28,1.0,0.0,0.8333333333333334,0.11785113019775793,1.0,0.0,0.8266666666666668,0.11800816042090449
overhead,all,2024-12-29,0.9833333333333334,0.022821773229381902,0.8333333333333333,0.16666666666666669,0.9832679738562092,0.022911270379301046,0.831111111111111,0.1667407242871473
overhead,all,2024-12-30,1.0,0.0,0.9,0.09128709291752767,1.0,0.0,0.8933333333333333,0.0973728991120295
overhead,all,2024-12-31,1.0,0.0,0.8,0.13944333775567927,1.0,0.0,0.7955555555555556,0.13824294235551818
overhead,new_growth,2024-12-21,0.8333333333333334,0.10622957319984967,0.5666666666666667,0.2527625148017184,0.8330161250285091,0.10794446828614698,0.56,0.253932041069026
overhead,new_growth,2024-12-22,0.9416666666666668,0.08640183897219886,0.7333333333333334,0.09128709291752772,0.9419934640522876,0.08553558712831234,0.7266666666666668,0.08734775114237137
overhead,new_growth,2024-12-23,0.9,0.10458250331675945,0.8,0.2173067468400883,0.8977836748734582,0.10837717125578732,0.7822222222222223,0.24198255217175382
overhead,new_growth,2024-12-24,0.9166666666666667,0.09771699499632146,0.6666666666666667,0.11785113019775793,0.9164446246334791,0.09734478043489084,0.6422222222222222,0.1520233900132184
